------Plugin Matched-------
Plugin Name,Version

ldap,1.20
jsch,0.1.55
authentication-tokens,1.3
jdk-tool,1.2
mapdb-api,1.0.9.0
pipeline-model-declarative-agent,1.1.1
sonar,2.9
workflow-aggregator,2.6
bouncycastle-api,2.17
ant,1.9
resource-disposer,0.12
ws-cleanup,0.37
github-api,1.95
momentjs,1.1.1
pipeline-milestone-step,1.3.1
jquery-detached,1.2.1
command-launcher,1.3
plain-credentials,1.5
mailer,1.23
ace-editor,1.1
subversion,2.12.1
build-timeout,1.19
antisamy-markup-formatter,1.5
git-server,1.7
pipeline-github-lib,1.0
apache-httpcomponents-client-4-api,4.5.5-3.0
handlebars,1.1.1
pipeline-stage-step,2.3

------Plugin UnMatched due to version-------
Plugin Name,Gold Copy Jenkins Instance Version,Remote Jenkins Instance Version

workflow-cps,2.70,2.62
workflow-scm-step,2.9,2.7
pipeline-input-step,2.10,2.9
matrix-auth,2.4.2,2.3
display-url-api,2.3.1,2.3.0
ssh-slaves,1.30.0,1.29.4
gradle,1.32,1.30
pipeline-model-definition,1.3.9,1.3.4.1
cloudbees-folder,6.9,6.7
workflow-api,2.35,2.33
email-ext,2.66,2.63
durable-task,1.29,1.28
pipeline-stage-view,2.11,2.10
structs,1.19,1.17
git-client,2.8.0,2.7.6
ssh-credentials,1.17,1.14
workflow-cps-global-lib,2.13,2.12
jackson2-api,2.9.9,2.9.8
script-security,1.60,1.50
timestamper,1.9,1.8.10
junit,1.28,1.26.1
branch-api,2.5.2,2.1.2
credentials,2.2.0,2.1.18
workflow-support,3.3,3.1
workflow-job,2.32,2.31
pipeline-build-step,2.9,2.7
pipeline-model-api,1.3.9,1.3.4.1
pipeline-stage-tags-metadata,1.3.9,1.3.4.1
workflow-basic-steps,2.18,2.14
token-macro,2.8,2.5
pipeline-model-extensions,1.3.9,1.3.4.1
scm-api,2.5.1,2.3.0
pipeline-graph-analysis,1.10,1.9
github-branch-source,2.5.3,2.4.2
credentials-binding,1.19,1.17
workflow-durable-task-step,2.31,2.28
git,3.10.0,3.9.1
github,1.29.4,1.29.3
workflow-multibranch,2.21,2.20
docker-workflow,1.18,1.17
lockable-resources,2.5,2.4
workflow-step-api,2.20,2.18
matrix-project,1.14,1.13
docker-commons,1.15,1.13
pipeline-rest-api,2.11,2.10
pam-auth,1.5.1,1.4

------Plugin Unavailable-------
Plugin Name

active-directory

 -------GLOBAL SHARED LIBRARIES MATCHED------------
Library Name


 -------GLOBAL SHARED LIBRARIES UNMATCHED DUE TO CREDENTIALS------------
Library Name

mylib

 -------GLOBAL SHARED LIBRARIES UNMATCHED DUE TO Remote URL------------
Library Name,Gold Copy Instance Url,Remote Jenkins Url

mylib2,https://github.com/chakreshkolluru/chakresh.git,https://github.com/chakreshkolluru/azure.git

------GLOBAL SHARED LIBRARIES UNAVAILABLE--------
Library Name 


 -------GITHUB SERVERS MATCHED------------
Server Name 

myserver1

 -------GITHUB SERVERS UNMATCHED DUE TO API_URL------------
Server Name, GoldCopy apiUrl, Remote JenkinsapiUrl 


 -------GITHUB SERVERS UNAVIALABLE------------
Server Name 

myserver2

 -------Maven versions------------
Maven version Unavailable ---> ,/usr/share/maven-3.5.8
Maven version matched ---> ,/usr/share/maven-3.5.2

 -------Sonar Servers------------

Sonar Server Matched  ---> ,mysonarserver1
Sonar Server UnMatched due to credentials ---> ,mysonarserver2

---------Security---------

Security is Enabled on Both
